Date,close,open,high,low,涨跌幅,volume,Ticker,Return,Volatility,Volume_MA20,Volume_Ratio,Overreaction,Herding,LossAversion,Disposition,Vol_lag1
2023-08-01,195.6,196.24,196.73,195.28,-0.43%,35280000.0,AAPL,-0.004326800712649459,0.12021514258836674,50009500.0,0.7054659614673212,0.0,-0.2,0.0,-0.7054659614673212,0.12278421053102523
2023-08-02,192.58,195.04,195.18,191.85,-1.55%,50390000.0,AAPL,-0.01543967280163594,0.13155920125410384,50183000.0,1.0041249028555488,0.0,-0.2,-0.1558085299697306,-1.0041249028555488,0.12021514258836674
2023-08-03,191.17,191.57,192.37,190.69,-0.73%,62240000.0,AAPL,-0.007321632568283443,0.13403234561592342,51037000.0,1.2195074161882555,0.0,-0.2,-0.13024118953084196,-1.2195074161882555,0.13155920125410384
2023-08-04,181.99,185.52,187.38,181.92,-4.80%,115960000.0,AAPL,-0.048020086833708064,0.21624596184280473,54494000.0,2.127940690718244,0.024198471553324257,-0.3,0.40502771289232475,-2.127940690718244,0.13403234561592342
2023-08-07,178.85,182.13,183.13,177.35,-1.73%,97580000.0,AAPL,-0.01725369525798126,0.22077208377614646,56377000.0,1.7308476861131312,0.024198471553324257,-0.3,0.43537143355199026,-1.7308476861131312,0.21624596184280473
2023-08-08,179.8,179.69,180.27,177.58,0.53%,67820000.0,AAPL,0.005311713726586564,0.22252525881584803,57436000.0,1.180792534299046,0.024198471553324257,-0.3,0.0,1.180792534299046,0.22077208377614646
2023-08-09,178.19,180.87,180.93,177.01,-0.90%,60380000.0,AAPL,-0.008954393770856606,0.21970852079503467,57417500.0,1.051595767840815,0.0,-0.4,0.0,-1.051595767840815,0.22252525881584803
2023-08-10,177.97,179.48,180.75,177.6,-0.12%,54690000.0,AAPL,-0.0012346371850272542,0.21823583886115355,58085000.0,0.941551175002152,0.0,-0.3,0.4123344946495331,-0.941551175002152,0.21970852079503467
2023-08-11,177.79,177.32,178.62,176.55,-0.10%,52040000.0,AAPL,-0.0010114064168118553,0.2178805058740254,58606000.0,0.8879636897246016,0.0,-0.2,0.4083932096629175,-0.8879636897246016,0.21823583886115355
2023-08-14,179.46,177.97,179.69,177.3,0.94%,43680000.0,AAPL,0.00939310422408468,0.2095562915865159,58264000.0,0.7496910613758067,0.0,-0.2,0.0,0.7496910613758067,0.2178805058740254
